id,gid,"date",newcount,"version",step,retention,retentionrate
60377,1,"2017-12-17 00:00:00",169,"coupon_used",105,15,0.0887574
60378,1,"2017-12-05 00:00:00",110,"android-notin-coupon",18,14,0.127273
60379,1,"2017-12-17 00:00:00",169,"coupon_used",106,15,0.0887574
60380,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",18,10,0.384615
60381,1,"2017-12-05 00:00:00",110,"android-notin-coupon",19,18,0.163636
60382,1,"2017-12-17 00:00:00",169,"coupon_used",107,18,0.106509
60383,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",19,4,0.153846
60384,1,"2017-12-17 00:00:00",169,"coupon_used",108,17,0.100592
60385,1,"2017-12-05 00:00:00",110,"android-notin-coupon",20,19,0.172727
60386,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",20,9,0.346154
60387,1,"2017-12-17 00:00:00",169,"coupon_used",109,15,0.0887574
60388,1,"2017-12-05 00:00:00",110,"android-notin-coupon",21,17,0.154545
60389,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",21,7,0.269231
60390,1,"2017-12-17 00:00:00",169,"coupon_used",110,20,0.118343
60391,1,"2017-12-05 00:00:00",110,"android-notin-coupon",22,15,0.136364
60392,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",22,8,0.307692
60393,1,"2017-12-17 00:00:00",169,"coupon_used",111,15,0.0887574
60394,1,"2017-12-05 00:00:00",110,"android-notin-coupon",23,14,0.127273
60395,1,"2017-12-17 00:00:00",169,"coupon_used",112,14,0.0828402
60396,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",23,8,0.307692
60397,1,"2017-12-05 00:00:00",110,"android-notin-coupon",24,17,0.154545
60398,1,"2017-12-17 00:00:00",169,"coupon_used",113,20,0.118343
60399,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",24,6,0.230769
60400,1,"2017-12-05 00:00:00",110,"android-notin-coupon",25,12,0.109091
60401,1,"2017-12-17 00:00:00",169,"coupon_used",114,15,0.0887574
60402,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",25,8,0.307692
60403,1,"2017-12-05 00:00:00",110,"android-notin-coupon",26,14,0.127273
60404,1,"2017-12-17 00:00:00",169,"coupon_used",115,19,0.112426
60405,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",26,8,0.307692
60406,1,"2017-12-17 00:00:00",169,"coupon_used",116,14,0.0828402
60407,1,"2017-12-05 00:00:00",110,"android-notin-coupon",27,14,0.127273
60408,1,"2017-12-17 00:00:00",169,"coupon_used",117,19,0.112426
60409,1,"2017-12-05 00:00:00",26,"ios-notin-coupon",27,6,0.230769
60410,1,"2017-12-17 00:00:00",169,"coupon_used",118,16,0.0946746
60411,1,"2017-12-17 00:00:00",169,"coupon_used",119,15,0.0887574
60412,1,"2017-12-17 00:00:00",169,"coupon_used",120,15,0.0887574
60413,1,"2017-12-17 00:00:00",169,"coupon_used",121,17,0.100592
60414,1,"2017-12-17 00:00:00",169,"coupon_used",122,12,0.0710059
60415,1,"2017-12-17 00:00:00",169,"coupon_used",123,17,0.100592
60416,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",1,13,0.590909
60417,1,"2017-12-06 00:00:00",131,"android-notin-coupon",1,66,0.503817
60418,1,"2017-12-17 00:00:00",169,"coupon_used",124,15,0.0887574
60419,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",2,8,0.363636
60420,1,"2017-12-06 00:00:00",131,"android-notin-coupon",2,49,0.374046
60421,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",3,6,0.272727
60422,1,"2017-12-17 00:00:00",169,"coupon_used",125,15,0.0887574
60423,1,"2017-12-06 00:00:00",131,"android-notin-coupon",3,39,0.29771
60424,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",4,5,0.227273
60425,1,"2017-12-06 00:00:00",131,"android-notin-coupon",4,39,0.29771
60426,1,"2017-12-17 00:00:00",169,"coupon_used",126,14,0.0828402
60427,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",5,8,0.363636
60428,1,"2017-12-06 00:00:00",131,"android-notin-coupon",5,32,0.244275
60429,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",6,4,0.181818
60430,1,"2017-12-17 00:00:00",169,"coupon_used",127,18,0.106509
60431,1,"2017-12-06 00:00:00",131,"android-notin-coupon",6,42,0.320611
60432,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",7,3,0.136364
60433,1,"2017-12-06 00:00:00",131,"android-notin-coupon",7,25,0.19084
60434,1,"2017-12-18 00:00:00",99,"coupon_used",1,34,0.343434
60435,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",8,5,0.227273
60436,1,"2017-12-18 00:00:00",99,"coupon_used",2,31,0.313131
60437,1,"2017-12-06 00:00:00",131,"android-notin-coupon",8,32,0.244275
60438,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",9,3,0.136364
60439,1,"2017-12-18 00:00:00",99,"coupon_used",3,24,0.242424
60440,1,"2017-12-06 00:00:00",131,"android-notin-coupon",9,29,0.221374
60441,1,"2017-12-18 00:00:00",99,"coupon_used",4,23,0.232323
60442,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",10,7,0.318182
60443,1,"2017-12-18 00:00:00",99,"coupon_used",5,21,0.212121
60444,1,"2017-12-06 00:00:00",131,"android-notin-coupon",10,26,0.198473
60445,1,"2017-12-18 00:00:00",99,"coupon_used",6,20,0.20202
60446,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",11,4,0.181818
60447,1,"2017-12-18 00:00:00",99,"coupon_used",7,19,0.191919
60448,1,"2017-12-06 00:00:00",131,"android-notin-coupon",11,29,0.221374
60449,1,"2017-12-18 00:00:00",99,"coupon_used",8,15,0.151515
60450,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",12,7,0.318182
60451,1,"2017-12-18 00:00:00",99,"coupon_used",9,14,0.141414
60452,1,"2017-12-06 00:00:00",131,"android-notin-coupon",12,26,0.198473
60453,1,"2017-12-18 00:00:00",99,"coupon_used",10,15,0.151515
60454,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",13,4,0.181818
60455,1,"2017-12-18 00:00:00",99,"coupon_used",11,16,0.161616
60456,1,"2017-12-06 00:00:00",131,"android-notin-coupon",13,27,0.206107
60457,1,"2017-12-18 00:00:00",99,"coupon_used",12,16,0.161616
60458,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",14,4,0.181818
60459,1,"2017-12-18 00:00:00",99,"coupon_used",13,11,0.111111
60460,1,"2017-12-06 00:00:00",131,"android-notin-coupon",14,38,0.290076
60461,1,"2017-12-18 00:00:00",99,"coupon_used",14,12,0.121212
60462,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",15,5,0.227273
60463,1,"2017-12-18 00:00:00",99,"coupon_used",15,16,0.161616
60464,1,"2017-12-06 00:00:00",131,"android-notin-coupon",15,22,0.167939
60465,1,"2017-12-18 00:00:00",99,"coupon_used",16,8,0.0808081
60466,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",16,3,0.136364
60467,1,"2017-12-18 00:00:00",99,"coupon_used",17,17,0.171717
60468,1,"2017-12-06 00:00:00",131,"android-notin-coupon",16,27,0.206107
60469,1,"2017-12-18 00:00:00",99,"coupon_used",18,10,0.10101
60470,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",17,4,0.181818
60471,1,"2017-12-18 00:00:00",99,"coupon_used",19,13,0.131313
