id,gid,"date",newcount,"version",step,retention,retentionrate
1,1,"2017-09-20 00:00:00",7,"android",1,0,0
2,1,"2017-09-20 00:00:00",7,"android",2,0,0
3,1,"2017-09-20 00:00:00",7,"android",3,0,0
4,1,"2017-09-20 00:00:00",7,"android",4,0,0
5,1,"2017-09-20 00:00:00",7,"android",5,2,0.285714
6,1,"2017-09-20 00:00:00",7,"android",6,2,0.285714
7,1,"2017-09-20 00:00:00",7,"android",7,0,0
8,1,"2017-09-20 00:00:00",7,"android",8,0,0
9,1,"2017-09-20 00:00:00",7,"android",9,0,0
10,1,"2017-09-20 00:00:00",7,"android",10,0,0
11,1,"2017-09-20 00:00:00",7,"android",11,0,0
12,1,"2017-09-20 00:00:00",7,"android",12,0,0
13,1,"2017-09-20 00:00:00",7,"android",13,0,0
14,1,"2017-09-20 00:00:00",7,"android",14,0,0
15,1,"2017-09-20 00:00:00",7,"android",15,1,0.142857
16,1,"2017-09-20 00:00:00",7,"android",16,0,0
17,1,"2017-09-20 00:00:00",7,"android",17,0,0
18,1,"2017-09-20 00:00:00",7,"android",18,0,0
19,1,"2017-09-20 00:00:00",7,"android",19,0,0
20,1,"2017-09-20 00:00:00",7,"android",20,0,0
21,1,"2017-09-20 00:00:00",7,"android",21,0,0
22,1,"2017-09-20 00:00:00",7,"android",22,0,0
23,1,"2017-09-20 00:00:00",7,"android",23,0,0
24,1,"2017-09-20 00:00:00",7,"android",24,0,0
25,1,"2017-09-20 00:00:00",7,"android",25,0,0
26,1,"2017-09-20 00:00:00",7,"android",26,0,0
27,1,"2017-09-20 00:00:00",7,"android",27,0,0
28,1,"2017-09-20 00:00:00",7,"android",28,0,0
29,1,"2017-09-20 00:00:00",7,"android",29,0,0
30,1,"2017-09-20 00:00:00",7,"android",30,0,0
31,1,"2017-09-20 00:00:00",7,"android",31,0,0
32,1,"2017-09-20 00:00:00",7,"android",32,0,0
33,1,"2017-09-20 00:00:00",7,"android",33,0,0
34,1,"2017-09-20 00:00:00",7,"android",34,1,0.142857
35,1,"2017-09-20 00:00:00",7,"android",35,0,0
