id,gid,"date",newcount,"version",step,retention,retentionrate
741,1,"2017-12-03 00:00:00",7,"android-0.2.42",8,2,0.285714
742,1,"2017-12-03 00:00:00",2,"android-0.2.43",8,0,0
743,1,"2017-12-03 00:00:00",44,"android-0.2.44",8,6,0.136364
744,1,"2017-12-03 00:00:00",15,"android-0.2.45",8,2,0.133333
745,1,"2017-12-03 00:00:00",140,"android-0.2.40",9,19,0.135714
746,1,"2017-12-03 00:00:00",19,"android-0.2.31",9,3,0.157895
747,1,"2017-12-03 00:00:00",84,"ios-0.2.40",9,15,0.178571
748,1,"2017-12-03 00:00:00",86,"android-0.2.41",9,13,0.151163
749,1,"2017-12-03 00:00:00",7,"android-0.2.42",9,1,0.142857
750,1,"2017-12-03 00:00:00",2,"android-0.2.43",9,0,0
751,1,"2017-12-03 00:00:00",44,"android-0.2.44",9,8,0.181818
752,1,"2017-12-03 00:00:00",15,"android-0.2.45",9,3,0.2
753,1,"2017-12-03 00:00:00",140,"android-0.2.40",10,18,0.128571
754,1,"2017-12-03 00:00:00",19,"android-0.2.31",10,2,0.105263
755,1,"2017-12-03 00:00:00",84,"ios-0.2.40",10,15,0.178571
756,1,"2017-12-03 00:00:00",86,"android-0.2.41",10,8,0.0930233
